Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
Cyprus,2000,21.86,0,1.92,433.3,109781.5896,19.56232071,5.1
Cyprus,2010,23.54,1,4.63,355.8,154973.7475,48.31158066,3
Cyprus,2015,24.17,2,4.17,324.5,127906.2423,60.10123062,2.5
Cyprus,2019,24.92,5,3.18,284.2,162400.3485,88.48532867,2.5
Czechia,2000,19.34,120,13.42,603.2,120503.4664,28.3487606,2.5
Czechia,2010,21.01,40,11.93,483.4,123997.6547,63.94588089,2.5
Czechia,2015,21.5,57,10.49,448.2,127867.2307,64.48162842,2.5
Czechia,2019,22.07,23,9.48,416.8,143415.3478,65.58698273,2.5
Democratic Republic of the Congo,2000,14.88,30000,14.5,753.8,3440.6429,,32.2
Democratic Republic of the Congo,2010,15.49,37000,13.5,719.7,1738.8355,,34.2
Democratic Republic of the Congo,2015,16.25,51000,12.27,661,1884.3949,,35.5
Democratic Republic of the Congo,2019,16.63,44000,12.41,652.9,2058.1825,,37.7
Denmark,2000,20.63,40,12.5,512.6,134801.7786,57.21831131,2.5
Denmark,2010,22.19,36,8.92,423,197366.5253,73.59667206,2.5
Denmark,2015,23.16,17,8.07,369,217389.831,82.12949371,2.5
Denmark,2019,23.59,10,7.63,342.9,124193.1439,81.83975983,2.5
Djibouti,2000,16.29,330,12.06,634.8,2357.709,0.269419998,42
Djibouti,2010,17.06,450,11.72,618.8,4723.0516,3.616280079,22.4
Djibouti,2015,17.48,380,11.89,612.5,7294.3494,,14.2
Djibouti,2019,17.76,270,11.95,610.9,8018.575,,13.1
Dominican Republic,2000,22.42,900,4.9,393.2,9814.1109,,20.4
Dominican Republic,2010,21.38,690,5.38,461.4,19494.8974,47.27909851,13
Dominican Republic,2015,20.24,400,6.84,560.7,23553.1111,51.74710846,7.4
Dominican Republic,2019,20.65,190,5.11,506.5,30115.2182,61.16123199,7
Ecuador,2000,21.94,1500,6.84,422.9,-906.761,,21
Ecuador,2010,21.62,740,10.18,447,7812.4386,,12.3
Ecuador,2015,22.53,610,8.88,396,8043.5956,44.89223099,9
Ecuador,2019,23.2,570,7.68,364.7,6937.7827,47.94522858,13.7
Egypt,2000,18.46,1100,3.62,714.2,3890.5495,,5.2
Egypt,2010,17.75,630,3.62,773,9476.328,31.41724014,4.5
Egypt,2015,17.03,420,3.72,813.4,9795.6191,35.02812958,4.4
Egypt,2019,17.83,450,3.41,733.8,10678.6951,,5
El Salvador,2000,21.44,130,6.73,440.3,-92.9685,21.40517044,7.2
El Salvador,2010,22.08,88,6.4,417.5,7357.1184,26.11397934,10.5
